Segment,Customer_ID,Product_ID,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit, Profit Value , Loss Value ,Date,Month,Quarter,Customer_Name,Product_Name,Country,Profit/Loss
Enterprise,CUST_ID_051,PROD_ID_002,Medium,704,10,125,"88,000.00",4400,"83,600.00","84,480.00",-880,  , 880.00 ,25/07/2021,Jul,Q3,Logan Phillips,Paseo,England,Loss
Government,CUST_ID_004,PROD_ID_002,Medium,"1,802.00",10,20,"36,040.00",1802,"34,238.00","18,020.00","16,218.00"," 16,218.00 ",  ,30/09/2021,Sep,Q3,Olivia Brown,Paseo,France,Profit
Government,CUST_ID_052,PROD_ID_002,Medium,"2,136.00",10,7,"14,952.00",747.6,"14,204.40","10,680.00","3,524.40"," 3,524.40 ",  ,22/07/2021,Jul,Q3,Charlotte Martin,Paseo,France,Profit
Midmarket,CUST_ID_038,PROD_ID_002,Medium,"2,116.00",10,15,"31,740.00",1587,"30,153.00","21,160.00","8,993.00"," 8,993.00 ",  ,16/03/2022,Mar,Q1,Amelia Wilson,Paseo,Italy,Profit
Enterprise,CUST_ID_053,PROD_ID_003,Medium,704,120,125,"88,000.00",4400,"83,600.00","84,480.00",-880,  , 880.00 ,25/04/2021,Apr,Q2,Samuel Hill,Velo,Germany,Loss
Government,CUST_ID_054,PROD_ID_003,Medium,"1,033.00",120,20,"20,660.00",1033,"19,627.00","10,330.00","9,297.00"," 9,297.00 ",  ,28/10/2022,Oct,Q4,Harper Wilson,Velo,Italy,Profit
Government,CUST_ID_055,PROD_ID_004,Medium,"1,389.00",250,20,"27,780.00",1389,"26,391.00","13,890.00","12,501.00"," 12,501.00 ",  ,07/09/2021,Sep,Q3,Henry Turner,VTT,India,Profit
Government,CUST_ID_033,PROD_ID_004,Medium,"1,265.00",250,20,"25,300.00",1265,"24,035.00","12,650.00","11,385.00"," 11,385.00 ",  ,03/07/2021,Jul,Q3,Logan Garcia,VTT,USA,Profit
Government,CUST_ID_056,PROD_ID_004,Medium,"2,297.00",250,20,"45,940.00",2297,"43,643.00","22,970.00","20,673.00"," 20,673.00 ",  ,31/07/2021,Jul,Q3,Amelia Perez,VTT,Japan,Profit
Government,CUST_ID_047,PROD_ID_006,Medium,"1,228.00",260,350,"429,800.00",21490,"408,310.00","319,280.00","89,030.00"," 89,030.00 ",  ,11/01/2022,Jan,Q1,Michael Wilson,Amarilla,India,Profit
Channel Partners,CUST_ID_036,PROD_ID_005,Medium,"2,299.00",3,12,"27,588.00",1655.28,"25,932.72","6,897.00","19,035.72"," 19,035.72 ",  ,01/01/2022,Jan,Q1,Harper Anderson,Carretera,France,Profit
Government,CUST_ID_057,PROD_ID_005,Medium,263,3,7,"1,841.00",110.46,"1,730.54","1,315.00",415.54, 415.54 ,  ,15/04/2021,Apr,Q2,Jackson Hill,Carretera,USA,Profit
Enterprise,CUST_ID_058,PROD_ID_005,Medium,887,3,125,"110,875.00",6652.5,"104,222.50","106,440.00","-2,217.50",  ," 2,217.50 ",16/08/2022,Aug,Q3,Abigail Phillips,Carretera,Canada,Loss
Government,CUST_ID_059,PROD_ID_001,Medium,"1,403.00",5,7,"9,821.00",589.26,"9,231.74","7,015.00","2,216.74"," 2,216.74 ",  ,25/09/2022,Sep,Q3,Aiden Martin,Montana,England,Profit
Channel Partners,CUST_ID_060,PROD_ID_002,Medium,"2,299.00",10,12,"27,588.00",1655.28,"25,932.72","6,897.00","19,035.72"," 19,035.72 ",  ,25/04/2021,Apr,Q2,Emily Garcia,Paseo,France,Profit
Government,CUST_ID_027,PROD_ID_002,Medium,727,10,350,"254,450.00",15267,"239,183.00","189,020.00","50,163.00"," 50,163.00 ",  ,19/04/2022,Apr,Q2,Michael Hill,Paseo,England,Profit
Small Business,CUST_ID_061,PROD_ID_003,Medium,"1,221.00",120,300,"366,300.00",21978,"344,322.00","305,250.00","39,072.00"," 39,072.00 ",  ,25/05/2021,May,Q2,Benjamin Martin,Velo,Germany,Profit
Government,CUST_ID_054,PROD_ID_003,Medium,"2,076.00",120,350,"726,600.00",43596,"683,004.00","539,760.00","143,244.00"," 143,244.00 ",  ,24/09/2021,Sep,Q3,Harper Wilson,Velo,Italy,Profit
Small Business,CUST_ID_062,PROD_ID_004,Medium,"1,221.00",250,300,"366,300.00",21978,"344,322.00","305,250.00","39,072.00"," 39,072.00 ",  ,20/08/2021,Aug,Q3,Mia Lewis,VTT,Italy,Profit
Government,CUST_ID_034,PROD_ID_004,Medium,"1,123.00",250,20,"22,460.00",1347.6,"21,112.40","11,230.00","9,882.40"," 9,882.40 ",  ,25/07/2022,Jul,Q3,Charlotte Davis,VTT,Canada,Profit
Small Business,CUST_ID_063,PROD_ID_004,Medium,"2,436.00",250,300,"730,800.00",43848,"686,952.00","609,000.00","77,952.00"," 77,952.00 ",  ,05/03/2021,Mar,Q1,Logan Clark,VTT,India,Profit
Government,CUST_ID_064,PROD_ID_006,Medium,727,260,350,"254,450.00",15267,"239,183.00","189,020.00","50,163.00"," 50,163.00 ",  ,21/02/2022,Feb,Q1,Charlotte Anderson,Amarilla,Japan,Profit
Government,CUST_ID_065,PROD_ID_006,Medium,"1,403.00",260,7,"9,821.00",589.26,"9,231.74","7,015.00","2,216.74"," 2,216.74 ",  ,08/09/2021,Sep,Q3,Samuel Wilson,Amarilla,USA,Profit
Government,CUST_ID_065,PROD_ID_006,Medium,"2,076.00",260,350,"726,600.00",43596,"683,004.00","539,760.00","143,244.00"," 143,244.00 ",  ,21/08/2022,Aug,Q3,Samuel Wilson,Amarilla,USA,Profit
Government,CUST_ID_059,PROD_ID_001,Medium,"1,757.00",5,20,"35,140.00",2108.4,"33,031.60","17,570.00","15,461.60"," 15,461.60 ",  ,18/05/2022,May,Q2,Aiden Martin,Montana,England,Profit
Government,CUST_ID_052,PROD_ID_002,Medium,"1,757.00",10,20,"35,140.00",2108.4,"33,031.60","17,570.00","15,461.60"," 15,461.60 ",  ,29/08/2022,Aug,Q3,Charlotte Martin,Paseo,France,Profit
Government,CUST_ID_066,PROD_ID_005,Medium,"1,834.00",3,20,"36,680.00",2567.6,"34,112.40","18,340.00","15,772.40"," 15,772.40 ",  ,23/04/2022,Apr,Q2,Harper Turner,Carretera,Canada,Profit
Government,CUST_ID_052,PROD_ID_002,Medium,"1,031.00",10,7,"7,217.00",505.19,"6,711.81","5,155.00","1,556.81"," 1,556.81 ",  ,06/02/2022,Feb,Q1,Charlotte Martin,Paseo,France,Profit
Channel Partners,CUST_ID_067,PROD_ID_004,Medium,"2,215.00",250,12,"26,580.00",1860.6,"24,719.40","6,645.00","18,074.40"," 18,074.40 ",  ,02/01/2021,Jan,Q1,Henry Phillips,VTT,England,Profit
Enterprise,CUST_ID_068,PROD_ID_001,Medium,"2,500.00",5,125,"312,500.00",21875,"290,625.00","300,000.00","-9,375.00",  ," 9,375.00 ",13/03/2021,Mar,Q1,Amelia Martin,Montana,France,Loss
Midmarket,CUST_ID_026,PROD_ID_002,Medium,"2,931.00",10,15,"43,965.00",3077.55,"40,887.45","29,310.00","11,577.45"," 11,577.45 ",  ,12/09/2021,Sep,Q3,Avery Turner,Paseo,Canada,Profit
Small Business,CUST_ID_069,PROD_ID_002,Medium,"1,123.00",10,300,"336,900.00",23583,"313,317.00","280,750.00","32,567.00"," 32,567.00 ",  ,16/06/2021,Jun,Q2,Jackson Hill,Paseo,Germany,Profit
Small Business,CUST_ID_070,PROD_ID_002,Medium,"1,404.00",10,300,"421,200.00",29484,"391,716.00","351,000.00","40,716.00"," 40,716.00 ",  ,19/05/2022,May,Q2,Abigail Garcia,Paseo,Italy,Profit
Channel Partners,CUST_ID_071,PROD_ID_002,Medium,"2,763.00",10,12,"33,156.00",2320.92,"30,835.08","8,289.00","22,546.08"," 22,546.08 ",  ,07/04/2021,Apr,Q2,Aiden Perez,Paseo,India,Profit
Government,CUST_ID_072,PROD_ID_002,Medium,"2,125.00",10,7,"14,875.00",1041.25,"13,833.75","10,625.00","3,208.75"," 3,208.75 ",  ,14/06/2022,Jun,Q2,Emily Hill,Paseo,Japan,Profit
Government,CUST_ID_041,PROD_ID_003,Medium,"1,421.00",120,20,"28,420.00",1989.4,"26,430.60","14,210.00","12,220.60"," 12,220.60 ",  ,11/02/2022,Feb,Q1,Aiden Clark,Velo,USA,Profit
Government,CUST_ID_028,PROD_ID_003,Medium,588,120,20,"11,760.00",823.2,"10,936.80","5,880.00","5,056.80"," 5,056.80 ",  ,05/05/2022,May,Q2,Sofia Phillips,Velo,France,Profit
Enterprise,CUST_ID_073,PROD_ID_006,Medium,994,260,125,"124,250.00",8697.5,"115,552.50","119,280.00","-3,727.50",  ," 3,727.50 ",06/06/2022,Jun,Q2,Benjamin Phillips,Amarilla,USA,Loss
Small Business,CUST_ID_074,PROD_ID_001,Medium,"1,283.00",5,300,"384,900.00",30792,"354,108.00","320,750.00","33,358.00"," 33,358.00 ",  ,13/08/2021,Aug,Q3,Mia Turner,Montana,Canada,Profit
Government,CUST_ID_072,PROD_ID_002,Medium,"2,409.00",10,7,"16,863.00",1349.04,"15,513.96","12,045.00","3,468.96"," 3,468.96 ",  ,14/11/2022,Nov,Q4,Emily Hill,Paseo,Japan,Profit
Government,CUST_ID_072,PROD_ID_002,Medium,"2,146.00",10,350,"751,100.00",60088,"691,012.00","557,960.00","133,052.00"," 133,052.00 ",  ,21/10/2021,Oct,Q4,Emily Hill,Paseo,Japan,Profit
Government,CUST_ID_040,PROD_ID_002,Medium,"1,946.00",10,7,"13,622.00",1089.76,"12,532.24","9,730.00","2,802.24"," 2,802.24 ",  ,16/02/2021,Feb,Q1,Abigail Lewis,Paseo,Japan,Profit
Small Business,CUST_ID_061,PROD_ID_003,Medium,386,120,300,"115,800.00",9264,"106,536.00","96,500.00","10,036.00"," 10,036.00 ",  ,12/11/2022,Nov,Q4,Benjamin Martin,Velo,Germany,Profit
Small Business,CUST_ID_075,PROD_ID_004,Medium,808,250,300,"242,400.00",19392,"223,008.00","202,000.00","21,008.00"," 21,008.00 ",  ,30/06/2022,Jun,Q2,Logan Martin,VTT,England,Profit
Channel Partners,CUST_ID_076,PROD_ID_006,Medium,"1,375.00",260,12,"16,500.00",1320,"15,180.00","4,125.00","11,055.00"," 11,055.00 ",  ,07/10/2022,Oct,Q4,Charlotte Garcia,Amarilla,France,Profit
Channel Partners,CUST_ID_077,PROD_ID_005,Medium,367,3,12,"4,404.00",396.36,"4,007.64","1,101.00","2,906.64"," 2,906.64 ",  ,17/02/2022,Feb,Q1,Samuel Phillips,Carretera,Germany,Profit
Small Business,CUST_ID_078,PROD_ID_001,Medium,322,5,300,"96,600.00",8694,"87,906.00","80,500.00","7,406.00"," 7,406.00 ",  ,14/06/2021,Jun,Q2,Harper Hill,Montana,Italy,Profit
Enterprise,CUST_ID_079,PROD_ID_001,Medium,"1,857.00",5,125,"232,125.00",20891.25,"211,233.75","222,840.00","-11,606.25",  ," 11,606.25 ",29/04/2022,Apr,Q2,Henry Turner,Montana,India,Loss
Government,CUST_ID_043,PROD_ID_001,Medium,"1,611.00",5,7,"11,277.00",1014.93,"10,262.07","8,055.00","2,207.07"," 2,207.07 ",  ,30/11/2022,Nov,Q4,Sebastian Phillips,Montana,England,Profit
Small Business,CUST_ID_080,PROD_ID_001,Medium,334,5,300,"100,200.00",9018,"91,182.00","83,500.00","7,682.00"," 7,682.00 ",  ,19/03/2022,Mar,Q1,Amelia Martin,Montana,Japan,Profit
Channel Partners,CUST_ID_071,PROD_ID_002,Medium,367,10,12,"4,404.00",396.36,"4,007.64","1,101.00","2,906.64"," 2,906.64 ",  ,25/06/2022,Jun,Q2,Aiden Perez,Paseo,India,Profit
Channel Partners,CUST_ID_014,PROD_ID_002,Medium,"1,775.00",10,12,"21,300.00",1917,"19,383.00","5,325.00","14,058.00"," 14,058.00 ",  ,09/03/2022,Mar,Q1,Charlotte White,Paseo,Italy,Profit
Channel Partners,CUST_ID_081,PROD_ID_004,Medium,"2,234.00",250,12,"26,808.00",2412.72,"24,395.28","6,702.00","17,693.28"," 17,693.28 ",  ,11/07/2021,Jul,Q3,Jackson Lewis,VTT,USA,Profit
Midmarket,CUST_ID_082,PROD_ID_006,Medium,970,260,15,"14,550.00",1309.5,"13,240.50","9,700.00","3,540.50"," 3,540.50 ",  ,16/08/2022,Aug,Q3,Abigail Clark,Amarilla,Canada,Profit
Government,CUST_ID_008,PROD_ID_004,Medium,"2,682.00",250,20,"53,640.00",4827.6,"48,812.40","26,820.00","21,992.40"," 21,992.40 ",  ,20/01/2022,Jan,Q1,Isabella Wilson,VTT,Japan,Profit
Channel Partners,CUST_ID_083,PROD_ID_006,Medium,306,260,12,"3,672.00",330.48,"3,341.52",918,"2,423.52"," 2,423.52 ",  ,12/11/2021,Nov,Q4,Aiden Anderson,Amarilla,England,Profit
Channel Partners,CUST_ID_084,PROD_ID_005,High,386,3,12,"4,632.00",463.2,"4,168.80","1,158.00","3,010.80"," 3,010.80 ",  ,21/08/2022,Aug,Q3,Emily Martin,Carretera,France,Profit
Channel Partners,CUST_ID_005,PROD_ID_002,High,386,10,12,"4,632.00",463.2,"4,168.80","1,158.00","3,010.80"," 3,010.80 ",  ,13/01/2022,Jan,Q1,Liam Jones,Paseo,Germany,Profit
Enterprise,CUST_ID_085,PROD_ID_005,High,"1,482.00",3,125,"185,250.00",18525,"166,725.00","177,840.00","-11,115.00",  ," 11,115.00 ",28/04/2022,Apr,Q2,Benjamin Garcia,Carretera,Germany,Loss
Enterprise,CUST_ID_013,PROD_ID_001,High,"1,804.00",5,125,"225,500.00",22550,"202,950.00","216,480.00","-13,530.00",  ," 13,530.00 ",21/04/2022,Apr,Q2,Logan Jackson,Montana,Germany,Loss
Midmarket,CUST_ID_002,PROD_ID_002,High,"2,167.00",10,15,"32,505.00",3250.5,"29,254.50","21,670.00","7,584.50"," 7,584.50 ",  ,25/09/2021,Sep,Q3,Emma Johnson,Paseo,Canada,Profit
Small Business,CUST_ID_086,PROD_ID_003,High,"2,294.00",120,300,"688,200.00",68820,"619,380.00","573,500.00","45,880.00"," 45,880.00 ",  ,11/04/2022,Apr,Q2,Mia Hill,Velo,Italy,Profit
Enterprise,CUST_ID_007,PROD_ID_003,High,"1,916.00",120,125,"239,500.00",23950,"215,550.00","229,920.00","-14,370.00",  ," 14,370.00 ",08/02/2021,Feb,Q1,Ethan Miller,Velo,India,Loss
